"","Oeuvre","motifs","n","total","nrel","Balzac-Goriot.txt-ut8.txt","Flaubert-Bovary.txt-ut8.txt","Huysmans-Rebours.txt-ut8.txt"
"67","Huysmans-Rebours.txt-ut8.txt",", de le NC ADJ",55,79201,0.000694435676317218,-7.4506,-4.5135,Inf
"68","Huysmans-Rebours.txt-ut8.txt","de le NC de le",55,79201,0.000694435676317218,-1.4272,-0.5648,2.4034
"69","Flaubert-Bovary.txt-ut8.txt","le NC ADJ de le",54,141162,0.000382539210269053,-5.587,-3.7697,15.9546
"70","Flaubert-Bovary.txt-ut8.txt","un NC de NC ,",54,141162,0.000382539210269053,-2.5595,-2.1631,7.8014
"71","Flaubert-Bovary.txt-ut8.txt","le NC et le NC",53,141162,0.000375455150819626,-1.4763,-1.7772,5.0698
"72","Flaubert-Bovary.txt-ut8.txt","NC , à le NC",53,141162,0.000375455150819626,-4.4107,0.3056,4.182
"73","Flaubert-Bovary.txt-ut8.txt","VIMP à le NC de",53,141162,0.000375455150819626,-7.2491,8.4952,-1.0781
"74","Huysmans-Rebours.txt-ut8.txt","NC de le NC de",53,79201,0.000669183469905683,0.3641,-1.6385,1.6295
"75","Huysmans-Rebours.txt-ut8.txt","NC de NC , de",53,79201,0.000669183469905683,-8.3448,-2.2381,14.5232
"76","Balzac-Goriot.txt-ut8.txt",". INTJ ! bien ,",52,110662,0.000469899333104408,Inf,-12.5552,-6.1763
"77","Flaubert-Bovary.txt-ut8.txt","NC ADJ de le NC",52,141162,0.000368371091370199,-4.8139,-1.89,10.488
"78","Huysmans-Rebours.txt-ut8.txt","de le NC , le",52,79201,0.000656557366699915,-4.606,0.3339,4.5604
"79","Huysmans-Rebours.txt-ut8.txt","de NC , de le",52,79201,0.000656557366699915,-7.7033,-5.6128,Inf
"80","Huysmans-Rebours.txt-ut8.txt","le NC ADJ et ADJ",52,79201,0.000656557366699915,-1.9215,-12.3004,Inf
"81","Huysmans-Rebours.txt-ut8.txt","de le NC de NP",50,79201,0.00063130516028838,0.5899,-5.5055,4.5254
"82","Balzac-Goriot.txt-ut8.txt","NC de DETPOSS NC ,",49,110662,0.000442789756194538,-1.1367,1.0562,-0.3188
"83","Flaubert-Bovary.txt-ut8.txt",", le NC , le",49,141162,0.000347118913021918,-1.578,0.5432,1.0325
"84","Flaubert-Bovary.txt-ut8.txt",". le NC de le",49,141162,0.000347118913021918,-1.7326,4.4346,-2.0437
"85","Flaubert-Bovary.txt-ut8.txt","un ADJ NC de NC",49,141162,0.000347118913021918,-2.802,0.3238,2.6623
"86","Huysmans-Rebours.txt-ut8.txt","NC , à le NC",49,79201,0.000618679057082613,-4.4107,0.3056,4.182
"87","Huysmans-Rebours.txt-ut8.txt","NC ADJ et ADJ ,",48,79201,0.000606052953876845,-2.1309,-12.8278,Inf
"88","Flaubert-Bovary.txt-ut8.txt","le NCABS de le NC",47,141162,0.000332950794123064,-1.5944,-0.6455,2.8349
"89","Balzac-Goriot.txt-ut8.txt","le NC . le NC",46,110662,0.000415680179284669,-0.5164,2.4708,-2.3273
"90","Flaubert-Bovary.txt-ut8.txt",", à le NC ,",46,141162,0.000325866734673637,-3.7986,2.8947,0.3402
"91","Flaubert-Bovary.txt-ut8.txt","NC à le NC ,",46,141162,0.000325866734673637,-0.8652,1.1051,-0.4148
"92","Balzac-Goriot.txt-ut8.txt","de le NC de NP",45,110662,0.000406643653648045,0.5899,-5.5055,4.5254
"93","Balzac-Goriot.txt-ut8.txt","de le NC de le",44,110662,0.000397607128011422,-1.4272,-0.5648,2.4034
"94","Balzac-Goriot.txt-ut8.txt","de le NC de NC",44,110662,0.000397607128011422,-15.4477,-0.7522,Inf
"95","Flaubert-Bovary.txt-ut8.txt",", un NC de NC",44,141162,0.000311698615774784,-9.099,1.1617,4.123
"96","Flaubert-Bovary.txt-ut8.txt","de le NC , il",44,141162,0.000311698615774784,-1.8917,2.2772,-0.4784
"97","Flaubert-Bovary.txt-ut8.txt","NC et de le NC",44,141162,0.000311698615774784,-3.9619,-1.8921,9.2519
"98","Huysmans-Rebours.txt-ut8.txt","le NC de ce NC",44,79201,0.000555548541053775,-0.3731,-5.4473,6.4508
"99","Huysmans-Rebours.txt-ut8.txt","le NCABS de le NC",44,79201,0.000555548541053775,-1.5944,-0.6455,2.8349
"100","Huysmans-Rebours.txt-ut8.txt","NC de le NC et",44,79201,0.000555548541053775,-2.6968,-0.6102,4.0894
"101","Flaubert-Bovary.txt-ut8.txt","de le NC ADJ .",43,141162,0.000304614556325357,-1.1509,1.2364,-0.3259
"102","Flaubert-Bovary.txt-ut8.txt","NC , dans le NC",43,141162,0.000304614556325357,-5.3466,1.5287,1.7712
"103","Flaubert-Bovary.txt-ut8.txt","NC à le NC de",43,141162,0.000304614556325357,0.5693,0.6114,-1.2888
"104","Huysmans-Rebours.txt-ut8.txt","NC , le NC ,",43,79201,0.000542922437848007,-2.6553,0.9346,1.2181
"105","Balzac-Goriot.txt-ut8.txt","NC de le ADJ NC",42,110662,0.000379534076738176,1.6485,-5.2375,2.1234
"106","Flaubert-Bovary.txt-ut8.txt","NC de DETPOSS NC .",42,141162,0.00029753049687593,0.9566,-0.3203,-1.1193
"107","Flaubert-Bovary.txt-ut8.txt","NC de le NC et",42,141162,0.00029753049687593,-2.6968,-0.6102,4.0894
"108","Flaubert-Bovary.txt-ut8.txt","un NC de NC .",42,141162,0.00029753049687593,0.3148,2.59,-3.6311
"109","Huysmans-Rebours.txt-ut8.txt","le NC de NP ,",42,79201,0.000530296334642239,0.6442,-0.6118,0.3312
"110","Huysmans-Rebours.txt-ut8.txt","NC de DETPOSS NC ,",42,79201,0.000530296334642239,-1.1367,1.0562,-0.3188
"111","Huysmans-Rebours.txt-ut8.txt","NC de le NC .",42,79201,0.000530296334642239,-1.4693,6.2641,-4.1493
"112","Balzac-Goriot.txt-ut8.txt","le NC de le ADJ",41,110662,0.000370497551101552,1.4412,-4.3747,1.8676
"113","Balzac-Goriot.txt-ut8.txt","le NC et le NC",41,110662,0.000370497551101552,-1.4763,-1.7772,5.0698
"114","Balzac-Goriot.txt-ut8.txt","NC de le NC ADJ",41,110662,0.000370497551101552,-3.9404,-0.5681,5.4512
"115","Flaubert-Bovary.txt-ut8.txt","ADJ NC de le NC",41,141162,0.000290446437426503,-2.2363,-2.9231,8.5912
"116","Huysmans-Rebours.txt-ut8.txt","ADJ , de le NC",41,79201,0.000517670231436472,-3.1324,-2.0927,8.2101
"117","Huysmans-Rebours.txt-ut8.txt","un ADJ NC de NC",41,79201,0.000517670231436472,-2.802,0.3238,2.6623
"118","Flaubert-Bovary.txt-ut8.txt","dans le NC de le",40,141162,0.000283362377977076,-0.4575,-0.7495,1.2594
"119","Flaubert-Bovary.txt-ut8.txt","de le NC . le",40,141162,0.000283362377977076,-0.5796,1.732,-1.2853
