"","mots","ngrammot","motifs","Oeuvre"
"133","y","y demeure , sa","y VSUBP , DETPOSS","Balzac-Goriot"
"134","demeure","demeure , sa famille","VSUBP , DETPOSS NC","Balzac-Goriot"
"135",",",", sa famille doit",", DETPOSS NC PRES","Balzac-Goriot"
"136","sa","sa famille doit -elle","DETPOSS NC PRES il","Balzac-Goriot"
"137","famille","famille doit -elle lui","NC PRES il lui","Balzac-Goriot"
"138","doit","doit -elle lui faire","PRES il lui INF","Balzac-Goriot"
"139","-elle","-elle lui faire une","il lui INF un","Balzac-Goriot"
"140","lui","lui faire une bien","lui INF un bien","Balzac-Goriot"
"141","faire","faire une bien maigre","INF un bien ADJ","Balzac-Goriot"
"142","une","une bien maigre pension","un bien ADJ NC","Balzac-Goriot"
"143","bien","bien maigre pension .","bien ADJ NC .","Balzac-Goriot"
"144","maigre","maigre pension . Néanmoins","ADJ NC . ADV","Balzac-Goriot"
"145","pension","pension . Néanmoins ,","NC . ADV ,","Balzac-Goriot"
"146",".",". Néanmoins , en",". ADV , en","Balzac-Goriot"
"147","Néanmoins","Néanmoins , en 1819","ADV , en NUM","Balzac-Goriot"
"148",",",", en 1819 ,",", en NUM ,","Balzac-Goriot"
"149","en","en 1819 , époque","en NUM , NC","Balzac-Goriot"
"150","1819","1819 , époque à","NUM , NC à","Balzac-Goriot"
"151",",",", époque à laquelle",", NC à lequel","Balzac-Goriot"
"152","époque","époque à laquelle ce","NC à lequel ce","Balzac-Goriot"
"153","à","à laquelle ce drame","à lequel ce NCABS","Balzac-Goriot"
"154","laquelle","laquelle ce drame commence","lequel ce NCABS PRES","Balzac-Goriot"
"155","ce","ce drame commence ,","ce NCABS PRES ,","Balzac-Goriot"
"156","drame","drame commence , il","NCABS PRES , il","Balzac-Goriot"
"157","commence","commence , il s’","PRES , il NP","Balzac-Goriot"
"158",",",", il s’ y",", il NP y","Balzac-Goriot"
"159","il","il s’ y trouvait","il NP y VIMP","Balzac-Goriot"
"160","s’","s’ y trouvait une","NP y VIMP un","Balzac-Goriot"
"161","y","y trouvait une pauvre","y VIMP un NC","Balzac-Goriot"
"162","trouvait","trouvait une pauvre jeune","VIMP un NC ADJ","Balzac-Goriot"
"163","une","une pauvre jeune fille","un NC ADJ NC","Balzac-Goriot"
"164","pauvre","pauvre jeune fille .","NC ADJ NC .","Balzac-Goriot"
"165","jeune","jeune fille . En","ADJ NC . en","Balzac-Goriot"
"166","fille","fille . En quelque","NC . en quelque","Balzac-Goriot"
"167",".",". En quelque discrédit",". en quelque NCABS","Balzac-Goriot"
"168","En","En quelque discrédit que","en quelque NCABS que","Balzac-Goriot"
"169","quelque","quelque discrédit que soit","quelque NCABS que être","Balzac-Goriot"
"170","discrédit","discrédit que soit tombé","NCABS que être PPAS","Balzac-Goriot"
"171","que","que soit tombé le","que être PPAS le","Balzac-Goriot"
"172","soit","soit tombé le mot","être PPAS le NC","Balzac-Goriot"
"173","tombé","tombé le mot drame","PPAS le NC PRES","Balzac-Goriot"
"174","le","le mot drame par","le NC PRES par","Balzac-Goriot"
"175","mot","mot drame par la","NC PRES par le","Balzac-Goriot"
"176","drame","drame par la manière","PRES par le NC","Balzac-Goriot"
"177","par","par la manière abusive","par le NC ADJ","Balzac-Goriot"
"178","la","la manière abusive et","le NC ADJ et","Balzac-Goriot"
"179","manière","manière abusive et tortionnaire","NC ADJ et ADJ","Balzac-Goriot"
"180","abusive","abusive et tortionnaire dont","ADJ et ADJ dont","Balzac-Goriot"
"181","et","et tortionnaire dont il","et ADJ dont il","Balzac-Goriot"
"182","tortionnaire","tortionnaire dont il a","ADJ dont il avoir","Balzac-Goriot"
"183","dont","dont il a été","dont il avoir être","Balzac-Goriot"
"184","il","il a été prodigué","il avoir être PPAS","Balzac-Goriot"
"185","a","a été prodigué dans","avoir être PPAS dans","Balzac-Goriot"
"186","été","été prodigué dans ces","être PPAS dans ce","Balzac-Goriot"
"187","prodigué","prodigué dans ces temps","PPAS dans ce NC","Balzac-Goriot"
"188","dans","dans ces temps de","dans ce NC de","Balzac-Goriot"
"189","ces","ces temps de douloureuse","ce NC de ADJ","Balzac-Goriot"
"190","temps","temps de douloureuse littérature","NC de ADJ NC","Balzac-Goriot"
"191","de","de douloureuse littérature ,","de ADJ NC ,","Balzac-Goriot"
"192","douloureuse","douloureuse littérature , il","ADJ NC , il","Balzac-Goriot"
"193","littérature","littérature , il est","NC , il être","Balzac-Goriot"
"194",",",", il est nécessaire",", il être ADJ","Balzac-Goriot"
"195","il","il est nécessaire de","il être ADJ de","Balzac-Goriot"
"196","est","est nécessaire de l’","être ADJ de NP","Balzac-Goriot"
"197","nécessaire","nécessaire de l’ employer","ADJ de NP INF","Balzac-Goriot"
"198","de","de l’ employer ici","de NP INF ici","Balzac-Goriot"
"199","l’","l’ employer ici :","NP INF ici :","Balzac-Goriot"
"200","employer","employer ici : non","INF ici : non","Balzac-Goriot"
"201","ici","ici : non que","ici : non que","Balzac-Goriot"
"202",":",": non que cette",": non que ce","Balzac-Goriot"
"203","non","non que cette histoire","non que ce NC","Balzac-Goriot"
"204","que","que cette histoire soit","que ce NC être","Balzac-Goriot"
"205","cette","cette histoire soit dramatique","ce NC être ADJ","Balzac-Goriot"
"206","histoire","histoire soit dramatique dans","NC être ADJ dans","Balzac-Goriot"
"207","soit","soit dramatique dans le","être ADJ dans le","Balzac-Goriot"
"208","dramatique","dramatique dans le sens","ADJ dans le NC","Balzac-Goriot"
"209","dans","dans le sens vrai","dans le NC ADJ","Balzac-Goriot"
"210","le","le sens vrai de","le NC ADJ de","Balzac-Goriot"
"211","sens","sens vrai de le","NC ADJ de le","Balzac-Goriot"
"212","vrai","vrai de le mot","ADJ de le NC","Balzac-Goriot"
"213","de","de le mot ;","de le NC ;","Balzac-Goriot"
"214","le","le mot ; mais","le NC ; mais","Balzac-Goriot"
"215","mot","mot ; mais ,","NC ; mais ,","Balzac-Goriot"
"216",";","; mais , l’","; mais , NP","Balzac-Goriot"
"217","mais","mais , l’ œuvre","mais , NP NP","Balzac-Goriot"
"218",",",", l’ œuvre accomplie",", NP NP PRES","Balzac-Goriot"
"219","l’","l’ œuvre accomplie ,","NP NP PRES ,","Balzac-Goriot"
"220","œuvre","œuvre accomplie , peut-être","NP PRES , ADV","Balzac-Goriot"
"221","accomplie","accomplie , peut-être aura","PRES , ADV avoir","Balzac-Goriot"
"222",",",", peut-être aura -t",", ADV avoir t","Balzac-Goriot"
"223","peut-être","peut-être aura -t -on","ADV avoir t on","Balzac-Goriot"
"224","aura","aura -t -on versé","avoir t on PPAS","Balzac-Goriot"
"225","-t","-t -on versé quelques","t on PPAS quelque","Balzac-Goriot"
"226","-on","-on versé quelques larmes","on PPAS quelque NC","Balzac-Goriot"
"227","versé","versé quelques larmes intra","PPAS quelque NC VF","Balzac-Goriot"
"228","quelques","quelques larmes intra muros","quelque NC VF ADJ","Balzac-Goriot"
"229","larmes","larmes intra muros et","NC VF ADJ et","Balzac-Goriot"
"230","intra","intra muros et extra","VF ADJ et ADJ","Balzac-Goriot"
"231","muros","muros et extra .","ADJ et ADJ .","Balzac-Goriot"
"232","et","et extra . Sera","et ADJ . être","Balzac-Goriot"
"233","extra","extra . Sera -t","ADJ . être t","Balzac-Goriot"
"234",".",". Sera -t -elle",". être t il","Balzac-Goriot"
"235","Sera","Sera -t -elle comprise","être t il PPAS","Balzac-Goriot"
"236","-t","-t -elle comprise au-delà","t il PPAS ADV","Balzac-Goriot"
"237","-elle","-elle comprise au-delà de","il PPAS ADV de","Balzac-Goriot"
"238","comprise","comprise au-delà de Paris","PPAS ADV de NP","Balzac-Goriot"
"239","au-delà","au-delà de Paris ?","ADV de NP ?","Balzac-Goriot"
"240","de","de Paris ? le","de NP ? le","Balzac-Goriot"
"241","Paris","Paris ? le doute","NP ? le NCABS","Balzac-Goriot"
"242","?","? le doute est","? le NCABS être","Balzac-Goriot"
"243","le","le doute est permis","le NCABS être PPAS","Balzac-Goriot"
"244","doute","doute est permis .","NCABS être PPAS .","Balzac-Goriot"
"245","est","est permis . Les","être PPAS . le","Balzac-Goriot"
"246","permis","permis . Les particularités","PPAS . le NC","Balzac-Goriot"
"247",".",". Les particularités de",". le NC de","Balzac-Goriot"
"248","Les","Les particularités de cette","le NC de ce","Balzac-Goriot"
"249","particularités","particularités de cette scène","NC de ce NC","Balzac-Goriot"
"250","de","de cette scène pleine","de ce NC ADJ","Balzac-Goriot"
"251","cette","cette scène pleine d’","ce NC ADJ NP","Balzac-Goriot"
"252","scène","scène pleine d’ observations","NC ADJ NP NC","Balzac-Goriot"
"253","pleine","pleine d’ observations et","ADJ NP NC et","Balzac-Goriot"
"254","d’","d’ observations et de","NP NC et de","Balzac-Goriot"
"255","observations","observations et de couleurs","NC et de NC","Balzac-Goriot"
"256","et","et de couleurs locales","et de NC ADJ","Balzac-Goriot"
"257","de","de couleurs locales ne","de NC ADJ ne","Balzac-Goriot"
"258","couleurs","couleurs locales ne peuvent","NC ADJ ne PRES","Balzac-Goriot"
"259","locales","locales ne peuvent être","ADJ ne PRES être","Balzac-Goriot"
"260","ne","ne peuvent être appréciées","ne PRES être PPAS","Balzac-Goriot"
"261","peuvent","peuvent être appréciées qu’","PRES être PPAS NP","Balzac-Goriot"
"262","être","être appréciées qu’ entre","être PPAS NP entre","Balzac-Goriot"
"263","appréciées","appréciées qu’ entre les","PPAS NP entre le","Balzac-Goriot"
"264","qu’","qu’ entre les buttes","NP entre le NC","Balzac-Goriot"
"265","entre","entre les buttes de","entre le NC de","Balzac-Goriot"
"266","les","les buttes de Montmartre","le NC de NP","Balzac-Goriot"
"267","buttes","buttes de Montmartre et","NC de NP et","Balzac-Goriot"
