"","mots","ngrammot","motifs","Oeuvre"
"2986",",",", la laisser par",", le INF par","Flaubert-Bovary"
"2987","la","la laisser par terre","le INF par NC","Flaubert-Bovary"
"2988","laisser","laisser par terre ou","INF par NC ou","Flaubert-Bovary"
"2989","par","par terre ou la","par NC ou le","Flaubert-Bovary"
"2990","terre","terre ou la mettre","NC ou le INF","Flaubert-Bovary"
"2991","ou","ou la mettre sur","ou le INF sur","Flaubert-Bovary"
"2992","la","la mettre sur sa","le INF sur DETPOSS","Flaubert-Bovary"
"2993","mettre","mettre sur sa tête","INF sur DETPOSS NCCOR","Flaubert-Bovary"
"2994","sur","sur sa tête .","sur DETPOSS NCCOR .","Flaubert-Bovary"
"2995","sa","sa tête . Il","DETPOSS NCCOR . il","Flaubert-Bovary"
"2996","tête","tête . Il se","NCCOR . il se","Flaubert-Bovary"
"2997",".",". Il se rassit",". il se VPS","Flaubert-Bovary"
"2998","Il","Il se rassit et","il se VPS et","Flaubert-Bovary"
"2999","se","se rassit et la","se VPS et le","Flaubert-Bovary"
"3000","rassit","rassit et la posa","VPS et le VPS","Flaubert-Bovary"
"3001","et","et la posa sur","et le VPS sur","Flaubert-Bovary"
"3002","la","la posa sur ses","le VPS sur DETPOSS","Flaubert-Bovary"
"3003","posa","posa sur ses genoux","VPS sur DETPOSS NCCOR","Flaubert-Bovary"
"3004","sur","sur ses genoux .","sur DETPOSS NCCOR .","Flaubert-Bovary"
"3005","ses","ses genoux . Levez","DETPOSS NCCOR . PRES","Flaubert-Bovary"
"3006","genoux","genoux . Levez -vous","NCCOR . PRES vous","Flaubert-Bovary"
"3007",".",". Levez -vous ,",". PRES vous ,","Flaubert-Bovary"
"3008","Levez","Levez -vous , reprit","PRES vous , VPS","Flaubert-Bovary"
"3009","-vous","-vous , reprit le","vous , VPS le","Flaubert-Bovary"
"3010",",",", reprit le professeur",", VPS le NC","Flaubert-Bovary"
"3011","reprit","reprit le professeur ,","VPS le NC ,","Flaubert-Bovary"
"3012","le","le professeur , et","le NC , et","Flaubert-Bovary"
"3013","professeur","professeur , et dites-moi","NC , et NC","Flaubert-Bovary"
"3014",",",", et dites-moi votre",", et NC DETPOSS","Flaubert-Bovary"
"3015","et","et dites-moi votre nom","et NC DETPOSS NC","Flaubert-Bovary"
"3016","dites-moi","dites-moi votre nom .","NC DETPOSS NC .","Flaubert-Bovary"
"3017","votre","votre nom . Le","DETPOSS NC . le","Flaubert-Bovary"
"3018","nom","nom . Le nouveau","NC . le ADJ","Flaubert-Bovary"
"3019",".",". Le nouveau articula",". le ADJ NC","Flaubert-Bovary"
"3020","Le","Le nouveau articula ,","le ADJ NC ,","Flaubert-Bovary"
"3021","nouveau","nouveau articula , d'","ADJ NC , de","Flaubert-Bovary"
"3022","articula","articula , d' une","NC , de un","Flaubert-Bovary"
"3023",",",", d' une voix",", de un NC","Flaubert-Bovary"
"3024","d'","d' une voix bredouillante","de un NC ADJ","Flaubert-Bovary"
"3025","une","une voix bredouillante ,","un NC ADJ ,","Flaubert-Bovary"
"3026","voix","voix bredouillante , un","NC ADJ , un","Flaubert-Bovary"
"3027","bredouillante","bredouillante , un nom","ADJ , un NC","Flaubert-Bovary"
"3028",",",", un nom inintelligible",", un NC ADJ","Flaubert-Bovary"
"3029","un","un nom inintelligible .","un NC ADJ .","Flaubert-Bovary"
"3030","nom","nom inintelligible . Répétez","NC ADJ . IMP","Flaubert-Bovary"
"3031","inintelligible","inintelligible . Répétez !","ADJ . IMP !","Flaubert-Bovary"
"3032",".",". Répétez ! Le",". IMP ! le","Flaubert-Bovary"
"3033","Répétez","Répétez ! Le même","IMP ! le même","Flaubert-Bovary"
"3034","!","! Le même bredouillement","! le même ADVMAN","Flaubert-Bovary"
"3035","Le","Le même bredouillement de","le même ADVMAN de","Flaubert-Bovary"
"3036","même","même bredouillement de syllabes","même ADVMAN de NC","Flaubert-Bovary"
"3037","bredouillement","bredouillement de syllabes se","ADVMAN de NC se","Flaubert-Bovary"
"3038","de","de syllabes se fit","de NC se VPS","Flaubert-Bovary"
"3039","syllabes","syllabes se fit entendre","NC se VPS INF","Flaubert-Bovary"
"3040","se","se fit entendre ,","se VPS INF ,","Flaubert-Bovary"
"3041","fit","fit entendre , couvert","VPS INF , ADJ","Flaubert-Bovary"
"3042","entendre","entendre , couvert par","INF , ADJ par","Flaubert-Bovary"
"3043",",",", couvert par les",", ADJ par le","Flaubert-Bovary"
"3044","couvert","couvert par les huées","ADJ par le NC","Flaubert-Bovary"
"3045","par","par les huées de","par le NC de","Flaubert-Bovary"
"3046","les","les huées de la","le NC de le","Flaubert-Bovary"
"3047","huées","huées de la classe","NC de le NC","Flaubert-Bovary"
"3048","de","de la classe .","de le NC .","Flaubert-Bovary"
"3049","la","la classe . Plus","le NC . plus","Flaubert-Bovary"
"3050","classe","classe . Plus haut!","NC . plus haut!","Flaubert-Bovary"
"3051",".",". Plus haut! cria",". plus haut! VPS","Flaubert-Bovary"
"3052","Plus","Plus haut! cria le","plus haut! VPS le","Flaubert-Bovary"
"3053","haut!","haut! cria le maître","haut! VPS le NC","Flaubert-Bovary"
"3054","cria","cria le maître ,","VPS le NC ,","Flaubert-Bovary"
"3055","le","le maître , plus","le NC , plus","Flaubert-Bovary"
"3056","maître","maître , plus haut","NC , plus ADJ","Flaubert-Bovary"
"3057",",",", plus haut !",", plus ADJ !","Flaubert-Bovary"
"3058","plus","plus haut ! Le","plus ADJ ! le","Flaubert-Bovary"
"3059","haut","haut ! Le nouveau","ADJ ! le ADJ","Flaubert-Bovary"
"3060","!","! Le nouveau ,","! le ADJ ,","Flaubert-Bovary"
"3061","Le","Le nouveau , prenant","le ADJ , PPRES","Flaubert-Bovary"
"3062","nouveau","nouveau , prenant alors","ADJ , PPRES alors","Flaubert-Bovary"
"3063",",",", prenant alors une",", PPRES alors un","Flaubert-Bovary"
"3064","prenant","prenant alors une résolution","PPRES alors un NC","Flaubert-Bovary"
"3065","alors","alors une résolution extrême","alors un NC ADJ","Flaubert-Bovary"
"3066","une","une résolution extrême ,","un NC ADJ ,","Flaubert-Bovary"
"3067","résolution","résolution extrême , ouvrit","NC ADJ , VPS","Flaubert-Bovary"
"3068","extrême","extrême , ouvrit une","ADJ , VPS un","Flaubert-Bovary"
"3069",",",", ouvrit une bouche",", VPS un NCCOR","Flaubert-Bovary"
"3070","ouvrit","ouvrit une bouche démesurée","VPS un NCCOR PPAS","Flaubert-Bovary"
"3071","une","une bouche démesurée et","un NCCOR PPAS et","Flaubert-Bovary"
"3072","bouche","bouche démesurée et lança","NCCOR PPAS et VPS","Flaubert-Bovary"
"3073","démesurée","démesurée et lança à","PPAS et VPS à","Flaubert-Bovary"
"3074","et","et lança à pleins","et VPS à ADJ","Flaubert-Bovary"
"3075","lança","lança à pleins poumons","VPS à ADJ NC","Flaubert-Bovary"
"3076","à","à pleins poumons ,","à ADJ NC ,","Flaubert-Bovary"
"3077","pleins","pleins poumons , comme","ADJ NC , comme","Flaubert-Bovary"
"3078","poumons","poumons , comme pour","NC , comme pour","Flaubert-Bovary"
"3079",",",", comme pour appeler",", comme pour INF","Flaubert-Bovary"
"3080","comme","comme pour appeler quelqu'un","comme pour INF quelqu'un","Flaubert-Bovary"
"3081","pour","pour appeler quelqu'un ,","pour INF quelqu'un ,","Flaubert-Bovary"
"3082","appeler","appeler quelqu'un , ce","INF quelqu'un , ce","Flaubert-Bovary"
"3083","quelqu'un","quelqu'un , ce mot","quelqu'un , ce NC","Flaubert-Bovary"
"3084",",",", ce mot :",", ce NC :","Flaubert-Bovary"
"3085","ce","ce mot : Charbovari","ce NC : NP","Flaubert-Bovary"
"3086","mot","mot : Charbovari .","NC : NP .","Flaubert-Bovary"
"3087",":",": Charbovari . Ce",": NP . ce","Flaubert-Bovary"
"3088","Charbovari","Charbovari . Ce fut","NP . ce être","Flaubert-Bovary"
"3089",".",". Ce fut un",". ce être un","Flaubert-Bovary"
"3090","Ce","Ce fut un vacarme","ce être un NC","Flaubert-Bovary"
"3091","fut","fut un vacarme qui","être un NC qui","Flaubert-Bovary"
"3092","un","un vacarme qui s'","un NC qui se","Flaubert-Bovary"
"3093","vacarme","vacarme qui s' élança","NC qui se VPS","Flaubert-Bovary"
"3094","qui","qui s' élança d'","qui se VPS de","Flaubert-Bovary"
"3095","s'","s' élança d' un","se VPS de un","Flaubert-Bovary"
"3096","élança","élança d' un bond","VPS de un NC","Flaubert-Bovary"
"3097","d'","d' un bond ,","de un NC ,","Flaubert-Bovary"
"3098","un","un bond , monta","un NC , VPS","Flaubert-Bovary"
"3099","bond","bond , monta en","NC , VPS en","Flaubert-Bovary"
"3100",",",", monta en crescendo",", VPS en NC","Flaubert-Bovary"
"3101","monta","monta en crescendo ,","VPS en NC ,","Flaubert-Bovary"
"3102","en","en crescendo , avec","en NC , avec","Flaubert-Bovary"
"3103","crescendo","crescendo , avec de","NC , avec de","Flaubert-Bovary"
"3104",",",", avec de les",", avec de le","Flaubert-Bovary"
"3105","avec","avec de les éclats","avec de le NC","Flaubert-Bovary"
"3106","de","de les éclats de","de le NC de","Flaubert-Bovary"
"3107","les","les éclats de voix","le NC de NC","Flaubert-Bovary"
"3108","éclats","éclats de voix aigus","NC de NC ADJ","Flaubert-Bovary"
"3109","de","de voix aigus (","de NC ADJ (","Flaubert-Bovary"
"3110","voix","voix aigus ( on","NC ADJ ( on","Flaubert-Bovary"
"3111","aigus","aigus ( on hurlait","ADJ ( on VIMP","Flaubert-Bovary"
"3112","(","( on hurlait ,","( on VIMP ,","Flaubert-Bovary"
"3113","on","on hurlait , on","on VIMP , on","Flaubert-Bovary"
"3114","hurlait","hurlait , on aboyait","VIMP , on VIMP","Flaubert-Bovary"
"3115",",",", on aboyait ,",", on VIMP ,","Flaubert-Bovary"
"3116","on","on aboyait , on","on VIMP , on","Flaubert-Bovary"
"3117","aboyait","aboyait , on trépignait","VIMP , on VIMP","Flaubert-Bovary"
"3118",",",", on trépignait ,",", on VIMP ,","Flaubert-Bovary"
"3119","on","on trépignait , on","on VIMP , on","Flaubert-Bovary"
"3120","trépignait","trépignait , on répétait","VIMP , on VIMP","Flaubert-Bovary"
"3121",",",", on répétait Charbovari",", on VIMP NP","Flaubert-Bovary"
"3122","on","on répétait Charbovari !","on VIMP NP !","Flaubert-Bovary"
"3123","répétait","répétait Charbovari ! Charbovari!","VIMP NP ! NP","Flaubert-Bovary"
"3124","Charbovari","Charbovari ! Charbovari! )","NP ! NP )","Flaubert-Bovary"
"3125","!","! Charbovari! ) ,","! NP ) ,","Flaubert-Bovary"
"3126","Charbovari!","Charbovari! ) , puis","NP ) , puis","Flaubert-Bovary"
"3127",")",") , puis qui",") , puis qui","Flaubert-Bovary"
"3128",",",", puis qui roula",", puis qui VPS","Flaubert-Bovary"
"3129","puis","puis qui roula en","puis qui VPS en","Flaubert-Bovary"
"3130","qui","qui roula en notes","qui VPS en NC","Flaubert-Bovary"
"3131","roula","roula en notes isolées","VPS en NC PPAS","Flaubert-Bovary"
"3132","en","en notes isolées ,","en NC PPAS ,","Flaubert-Bovary"
"3133","notes","notes isolées , se","NC PPAS , se","Flaubert-Bovary"
"3134","isolées","isolées , se calmant","PPAS , se PPRES","Flaubert-Bovary"
"3135",",",", se calmant à",", se PPRES à","Flaubert-Bovary"
"3136","se","se calmant à grand-peine","se PPRES à NC","Flaubert-Bovary"
"3137","calmant","calmant à grand-peine ,","PPRES à NC ,","Flaubert-Bovary"
"3138","à","à grand-peine , et","à NC , et","Flaubert-Bovary"
"3139","grand-peine","grand-peine , et parfois","NC , et parfois","Flaubert-Bovary"
"3140",",",", et parfois qui",", et parfois qui","Flaubert-Bovary"
"3141","et","et parfois qui reprenait","et parfois qui VIMP","Flaubert-Bovary"
"3142","parfois","parfois qui reprenait tout","parfois qui VIMP tout","Flaubert-Bovary"
"3143","qui","qui reprenait tout à","qui VIMP tout à","Flaubert-Bovary"
"3144","reprenait","reprenait tout à coup","VIMP tout à NC","Flaubert-Bovary"
"3145","tout","tout à coup sur","tout à NC sur","Flaubert-Bovary"
"3146","à","à coup sur la","à NC sur le","Flaubert-Bovary"
"3147","coup","coup sur la ligne","NC sur le NC","Flaubert-Bovary"
"3148","sur","sur la ligne d'","sur le NC de","Flaubert-Bovary"
"3149","la","la ligne d' un","le NC de un","Flaubert-Bovary"
"3150","ligne","ligne d' un banc","NC de un NC","Flaubert-Bovary"
"3151","d'","d' un banc où","de un NC où","Flaubert-Bovary"
"3152","un","un banc où saillissait","un NC où VIMP","Flaubert-Bovary"
"3153","banc","banc où saillissait encore","NC où VIMP encore","Flaubert-Bovary"
"3154","où","où saillissait encore çà","où VIMP encore ADV","Flaubert-Bovary"
"3155","saillissait","saillissait encore çà et","VIMP encore ADV et","Flaubert-Bovary"
"3156","encore","encore çà et là","encore ADV et là","Flaubert-Bovary"
"3157","çà","çà et là ,","ADV et là ,","Flaubert-Bovary"
"3158","et","et là , comme","et là , comme","Flaubert-Bovary"
"3159","là","là , comme un","là , comme un","Flaubert-Bovary"
"3160",",",", comme un pétard",", comme un NC","Flaubert-Bovary"
"3161","comme","comme un pétard mal","comme un NC ADV","Flaubert-Bovary"
"3162","un","un pétard mal éteint","un NC ADV PPAS","Flaubert-Bovary"
"3163","pétard","pétard mal éteint ,","NC ADV PPAS ,","Flaubert-Bovary"
"3164","mal","mal éteint , quelque","ADV PPAS , quelque","Flaubert-Bovary"
"3165","éteint","éteint , quelque rire","PPAS , quelque NC","Flaubert-Bovary"
"3166",",",", quelque rire étouffé",", quelque NC PPAS","Flaubert-Bovary"
"3167","quelque","quelque rire étouffé .","quelque NC PPAS .","Flaubert-Bovary"
"3168","rire","rire étouffé . Cependant","NC PPAS . cependant","Flaubert-Bovary"
"3169","étouffé","étouffé . Cependant ,","PPAS . cependant ,","Flaubert-Bovary"
"3170",".",". Cependant , sous",". cependant , sous","Flaubert-Bovary"
"3171","Cependant","Cependant , sous la","cependant , sous le","Flaubert-Bovary"
"3172",",",", sous la pluie",", sous le NC","Flaubert-Bovary"
"3173","sous","sous la pluie de","sous le NC de","Flaubert-Bovary"
"3174","la","la pluie de les","le NC de le","Flaubert-Bovary"
"3175","pluie","pluie de les pensums","NC de le NC","Flaubert-Bovary"
"3176","de","de les pensums ,","de le NC ,","Flaubert-Bovary"
"3177","les","les pensums , l'","le NC , le","Flaubert-Bovary"
"3178","pensums","pensums , l' ordre","NC , le NC","Flaubert-Bovary"
"3179",",",", l' ordre peu",", le NC peu","Flaubert-Bovary"
"3180","l'","l' ordre peu à","le NC peu à","Flaubert-Bovary"
"3181","ordre","ordre peu à peu","NC peu à peu","Flaubert-Bovary"
"3182","peu","peu à peu se","peu à peu se","Flaubert-Bovary"
"3183","à","à peu se rétablit","à peu se PPAS","Flaubert-Bovary"
"3184","peu","peu se rétablit dans","peu se PPAS dans","Flaubert-Bovary"
"3185","se","se rétablit dans la","se PPAS dans le","Flaubert-Bovary"
"3186","rétablit","rétablit dans la classe","PPAS dans le NC","Flaubert-Bovary"
"3187","dans","dans la classe ,","dans le NC ,","Flaubert-Bovary"
"3188","la","la classe , et","le NC , et","Flaubert-Bovary"
"3189","classe","classe , et le","NC , et le","Flaubert-Bovary"
"3190",",",", et le professeur",", et le NC","Flaubert-Bovary"
"3191","et","et le professeur parvenu","et le NC PPAS","Flaubert-Bovary"
"3192","le","le professeur parvenu à","le NC PPAS à","Flaubert-Bovary"
"3193","professeur","professeur parvenu à saisir","NC PPAS à INF","Flaubert-Bovary"
"3194","parvenu","parvenu à saisir le","PPAS à INF le","Flaubert-Bovary"
"3195","à","à saisir le nom","à INF le NC","Flaubert-Bovary"
"3196","saisir","saisir le nom de","INF le NC de","Flaubert-Bovary"
"3197","le","le nom de Charles","le NC de NP","Flaubert-Bovary"
"3198","nom","nom de Charles Bovary","NC de NP NP","Flaubert-Bovary"
"3199","de","de Charles Bovary ,","de NP NP ,","Flaubert-Bovary"
"3200","Charles","Charles Bovary , se","NP NP , se","Flaubert-Bovary"
"3201","Bovary","Bovary , se l'","NP , se le","Flaubert-Bovary"
"3202",",",", se l' étant",", se le être","Flaubert-Bovary"
"3203","se","se l' étant fait","se le être PPAS","Flaubert-Bovary"
"3204","l'","l' étant fait dicter","le être PPAS INF","Flaubert-Bovary"
"3205","étant","étant fait dicter ,","être PPAS INF ,","Flaubert-Bovary"
"3206","fait","fait dicter , épeler","PPAS INF , INF","Flaubert-Bovary"
"3207","dicter","dicter , épeler et","INF , INF et","Flaubert-Bovary"
"3208",",",", épeler et relire",", INF et INF","Flaubert-Bovary"
"3209","épeler","épeler et relire ,","INF et INF ,","Flaubert-Bovary"
"3210","et","et relire , commanda","et INF , VPS","Flaubert-Bovary"
"3211","relire","relire , commanda tout","INF , VPS tout","Flaubert-Bovary"
"3212",",",", commanda tout de",", VPS tout de","Flaubert-Bovary"
"3213","commanda","commanda tout de suite","VPS tout de NC","Flaubert-Bovary"
"3214","tout","tout de suite à","tout de NC à","Flaubert-Bovary"
"3215","de","de suite à le","de NC à le","Flaubert-Bovary"
"3216","suite","suite à le pauvre","NC à le NC","Flaubert-Bovary"
"3217","à","à le pauvre diable","à le NC ADJ","Flaubert-Bovary"
"3218","le","le pauvre diable d'","le NC ADJ de","Flaubert-Bovary"
"3219","pauvre","pauvre diable d' aller","NC ADJ de INF","Flaubert-Bovary"
"3220","diable","diable d' aller s'","ADJ de INF se","Flaubert-Bovary"
"3221","d'","d' aller s' asseoir","de INF se INF","Flaubert-Bovary"
"3222","aller","aller s' asseoir sur","INF se INF sur","Flaubert-Bovary"
"3223","s'","s' asseoir sur le","se INF sur le","Flaubert-Bovary"
"3224","asseoir","asseoir sur le banc","INF sur le NC","Flaubert-Bovary"
"3225","sur","sur le banc de","sur le NC de","Flaubert-Bovary"
"3226","le","le banc de paresse","le NC de NCABS","Flaubert-Bovary"
"3227","banc","banc de paresse ,","NC de NCABS ,","Flaubert-Bovary"
"3228","de","de paresse , à","de NCABS , à","Flaubert-Bovary"
"3229","paresse","paresse , à le","NCABS , à le","Flaubert-Bovary"
"3230",",",", à le pied",", à le NCCOR","Flaubert-Bovary"
"3231","à","à le pied de","à le NCCOR de","Flaubert-Bovary"
"3232","le","le pied de la","le NCCOR de le","Flaubert-Bovary"
"3233","pied","pied de la chaire","NCCOR de le NC","Flaubert-Bovary"
"3234","de","de la chaire .","de le NC .","Flaubert-Bovary"
"3235","la","la chaire . Il","le NC . il","Flaubert-Bovary"
"3236","chaire","chaire . Il se","NC . il se","Flaubert-Bovary"
"3237",".",". Il se mit",". il se VPS","Flaubert-Bovary"
"3238","Il","Il se mit en","il se VPS en","Flaubert-Bovary"
"3239","se","se mit en mouvement","se VPS en NC","Flaubert-Bovary"
"3240","mit","mit en mouvement ,","VPS en NC ,","Flaubert-Bovary"
"3241","en","en mouvement , mais","en NC , mais","Flaubert-Bovary"
"3242","mouvement","mouvement , mais ,","NC , mais ,","Flaubert-Bovary"
"3243",",",", mais , avant",", mais , avant","Flaubert-Bovary"
"3244","mais","mais , avant de","mais , avant de","Flaubert-Bovary"
"3245",",",", avant de partir",", avant de INF","Flaubert-Bovary"
"3246","avant","avant de partir ,","avant de INF ,","Flaubert-Bovary"
"3247","de","de partir , hésita","de INF , hésita","Flaubert-Bovary"
"3248","partir","partir , hésita .","INF , hésita .","Flaubert-Bovary"
"3249",",",", hésita . Que",", hésita . que","Flaubert-Bovary"
"3250","hésita","hésita . Que cherchez-vous","hésita . que cherchez-le","Flaubert-Bovary"
"3251",".",". Que cherchez-vous ?",". que cherchez-le ?","Flaubert-Bovary"
"3252","Que","Que cherchez-vous ? demanda","que cherchez-le ? VPS","Flaubert-Bovary"
"3253","cherchez-vous","cherchez-vous ? demanda le","cherchez-le ? VPS le","Flaubert-Bovary"
"3254","?","? demanda le professeur","? VPS le NC","Flaubert-Bovary"
"3255","demanda","demanda le professeur .","VPS le NC .","Flaubert-Bovary"
"3256","le","le professeur . Ma","le NC . DETPOSS","Flaubert-Bovary"
"3257","professeur","professeur . Ma cas","NC . DETPOSS NC","Flaubert-Bovary"
"3258",".",". Ma cas ...",". DETPOSS NC ...","Flaubert-Bovary"
"3259","Ma","Ma cas ... fit","DETPOSS NC ... VPS","Flaubert-Bovary"
"3260","cas","cas ... fit timidement","NC ... VPS ADVMAN","Flaubert-Bovary"
"3261","...","... fit timidement le","... VPS ADVMAN le","Flaubert-Bovary"
"3262","fit","fit timidement le nouveau","VPS ADVMAN le ADJ","Flaubert-Bovary"
"3263","timidement","timidement le nouveau ,","ADVMAN le ADJ ,","Flaubert-Bovary"
"3264","le","le nouveau , promenant","le ADJ , PPRES","Flaubert-Bovary"
"3265","nouveau","nouveau , promenant autour","ADJ , PPRES ADV","Flaubert-Bovary"
"3266",",",", promenant autour de",", PPRES ADV de","Flaubert-Bovary"
"3267","promenant","promenant autour de lui","PPRES ADV de lui","Flaubert-Bovary"
"3268","autour","autour de lui de","ADV de lui de","Flaubert-Bovary"
"3269","de","de lui de les","de lui de le","Flaubert-Bovary"
"3270","lui","lui de les regards","lui de le NC","Flaubert-Bovary"
"3271","de","de les regards inquiets","de le NC ADJ","Flaubert-Bovary"
"3272","les","les regards inquiets .","le NC ADJ .","Flaubert-Bovary"
"3273","regards","regards inquiets . cents","NC ADJ . NC","Flaubert-Bovary"
"3274","inquiets","inquiets . cents vers","ADJ . NC ADJ","Flaubert-Bovary"
"3275",".",". cents vers à",". NC ADJ à","Flaubert-Bovary"
"3276","cents","cents vers à toute","NC ADJ à tout","Flaubert-Bovary"
"3277","vers","vers à toute la","ADJ à tout le","Flaubert-Bovary"
"3278","à","à toute la classe","à tout le NC","Flaubert-Bovary"
"3279","toute","toute la classe !","tout le NC !","Flaubert-Bovary"
"3280","la","la classe ! exclamé","le NC ! PPAS","Flaubert-Bovary"
"3281","classe","classe ! exclamé d'","NC ! PPAS de","Flaubert-Bovary"
"3282","!","! exclamé d' une","! PPAS de un","Flaubert-Bovary"
"3283","exclamé","exclamé d' une voix","PPAS de un NC","Flaubert-Bovary"
"3284","d'","d' une voix furieuse","de un NC ADJ","Flaubert-Bovary"
"3285","une","une voix furieuse arrêta","un NC ADJ VPS","Flaubert-Bovary"
"3286","voix","voix furieuse arrêta ,","NC ADJ VPS ,","Flaubert-Bovary"
"3287","furieuse","furieuse arrêta , le","ADJ VPS , le","Flaubert-Bovary"
"3288","arrêta","arrêta , le _Quos","VPS , le NP","Flaubert-Bovary"
"3289",",",", le _Quos ego_",", le NP NP","Flaubert-Bovary"
"3290","le","le _Quos ego_ ,","le NP NP ,","Flaubert-Bovary"
"3291","_Quos","_Quos ego_ , une","NP NP , un","Flaubert-Bovary"
"3292","ego_","ego_ , une bourrasque","NP , un NC","Flaubert-Bovary"
"3293",",",", une bourrasque nouvelle",", un NC ADJ","Flaubert-Bovary"
"3294","une","une bourrasque nouvelle .","un NC ADJ .","Flaubert-Bovary"
"3295","bourrasque","bourrasque nouvelle . Restez","NC ADJ . IMP","Flaubert-Bovary"
"3296","nouvelle","nouvelle . Restez donc","ADJ . IMP ADV","Flaubert-Bovary"
"3297",".",". Restez donc tranquilles",". IMP ADV NC","Flaubert-Bovary"
"3298","Restez","Restez donc tranquilles !","IMP ADV NC !","Flaubert-Bovary"
"3299","donc","donc tranquilles ! continuait","ADV NC ! VIMP","Flaubert-Bovary"
"3300","tranquilles","tranquilles ! continuait le","NC ! VIMP le","Flaubert-Bovary"
"3301","!","! continuait le professeur","! VIMP le NC","Flaubert-Bovary"
"3302","continuait","continuait le professeur indigné","VIMP le NC ADJ","Flaubert-Bovary"
"3303","le","le professeur indigné ,","le NC ADJ ,","Flaubert-Bovary"
"3304","professeur","professeur indigné , et","NC ADJ , et","Flaubert-Bovary"
"3305","indigné","indigné , et s'","ADJ , et se","Flaubert-Bovary"
"3306",",",", et s' essuyant",", et se PPRES","Flaubert-Bovary"
"3307","et","et s' essuyant le","et se PPRES le","Flaubert-Bovary"
"3308","s'","s' essuyant le front","se PPRES le NCCOR","Flaubert-Bovary"
"3309","essuyant","essuyant le front avec","PPRES le NCCOR avec","Flaubert-Bovary"
"3310","le","le front avec son","le NCCOR avec DETPOSS","Flaubert-Bovary"
"3311","front","front avec son mouchoir","NCCOR avec DETPOSS NC","Flaubert-Bovary"
"3312","avec","avec son mouchoir qu'","avec DETPOSS NC que","Flaubert-Bovary"
"3313","son","son mouchoir qu' il","DETPOSS NC que il","Flaubert-Bovary"
"3314","mouchoir","mouchoir qu' il venait","NC que il VIMP","Flaubert-Bovary"
"3315","qu'","qu' il venait de","que il VIMP de","Flaubert-Bovary"
"3316","il","il venait de prendre","il VIMP de INF","Flaubert-Bovary"
"3317","venait","venait de prendre dans","VIMP de INF dans","Flaubert-Bovary"
"3318","de","de prendre dans sa","de INF dans DETPOSS","Flaubert-Bovary"
"3319","prendre","prendre dans sa toque","INF dans DETPOSS NC","Flaubert-Bovary"
"3320","dans","dans sa toque :","dans DETPOSS NC :","Flaubert-Bovary"
"3321","sa","sa toque : Quant","DETPOSS NC : ADV","Flaubert-Bovary"
"3322","toque","toque : Quant à","NC : ADV à","Flaubert-Bovary"
"3323",":",": Quant à vous",": ADV à vous","Flaubert-Bovary"
"3324","Quant","Quant à vous ,","ADV à vous ,","Flaubert-Bovary"
"3325","à","à vous , le","à vous , le","Flaubert-Bovary"
"3326","vous","vous , le nouveau","vous , le ADJ","Flaubert-Bovary"
"3327",",",", le nouveau ,",", le ADJ ,","Flaubert-Bovary"
"3328","le","le nouveau , vous","le ADJ , vous","Flaubert-Bovary"
"3329","nouveau","nouveau , vous me","ADJ , vous me","Flaubert-Bovary"
"3330",",",", vous me copierez",", vous me VF","Flaubert-Bovary"
"3331","vous","vous me copierez vingt","vous me VF NUM","Flaubert-Bovary"
"3332","me","me copierez vingt fois","me VF NUM fois","Flaubert-Bovary"
"3333","copierez","copierez vingt fois le","VF NUM fois le","Flaubert-Bovary"
"3334","vingt","vingt fois le verbe","NUM fois le NC","Flaubert-Bovary"
"3335","fois","fois le verbe _ridiculus","fois le NC ADV","Flaubert-Bovary"
"3336","le","le verbe _ridiculus sum_","le NC ADV NP","Flaubert-Bovary"
"3337","verbe","verbe _ridiculus sum_ .","NC ADV NP .","Flaubert-Bovary"
"3338","_ridiculus","_ridiculus sum_ . Puis","ADV NP . puis","Flaubert-Bovary"
"3339","sum_","sum_ . Puis ,","NP . puis ,","Flaubert-Bovary"
"3340",".",". Puis , d'",". puis , de","Flaubert-Bovary"
"3341","Puis","Puis , d' une","puis , de un","Flaubert-Bovary"
"3342",",",", d' une voix",", de un NC","Flaubert-Bovary"
"3343","d'","d' une voix plus","de un NC plus","Flaubert-Bovary"
"3344","une","une voix plus douce","un NC plus ADJ","Flaubert-Bovary"
"3345","voix","voix plus douce :","NC plus ADJ :","Flaubert-Bovary"
"3346","plus","plus douce : Eh!","plus ADJ : Eh!","Flaubert-Bovary"
"3347","douce","douce : Eh! vous","ADJ : Eh! vous","Flaubert-Bovary"
"3348",":",": Eh! vous la",": Eh! vous le","Flaubert-Bovary"
"3349","Eh!","Eh! vous la retrouverez","Eh! vous le VF","Flaubert-Bovary"
"3350","vous","vous la retrouverez ,","vous le VF ,","Flaubert-Bovary"
"3351","la","la retrouverez , votre","le VF , DETPOSS","Flaubert-Bovary"
"3352","retrouverez","retrouverez , votre casquette","VF , DETPOSS NC","Flaubert-Bovary"
"3353",",",", votre casquette ;",", DETPOSS NC ;","Flaubert-Bovary"
"3354","votre","votre casquette ; on","DETPOSS NC ; on","Flaubert-Bovary"
"3355","casquette","casquette ; on ne","NC ; on ne","Flaubert-Bovary"
"3356",";","; on ne vous","; on ne vous","Flaubert-Bovary"
"3357","on","on ne vous l'","on ne vous le","Flaubert-Bovary"
