"","mots","motifs","Oeuvre"
"3143","qui","qui","Flaubert-Bovary"
"3144","reprenait","VIMP","Flaubert-Bovary"
"3145","tout","tout","Flaubert-Bovary"
"3146","à","à","Flaubert-Bovary"
"3147","coup","NC","Flaubert-Bovary"
"3148","sur","sur","Flaubert-Bovary"
"3149","la","le","Flaubert-Bovary"
"3150","ligne","NC","Flaubert-Bovary"
"3151","d'","de","Flaubert-Bovary"
"3152","un","un","Flaubert-Bovary"
"3153","banc","NC","Flaubert-Bovary"
"3154","où","où","Flaubert-Bovary"
"3155","saillissait","VIMP","Flaubert-Bovary"
"3156","encore","encore","Flaubert-Bovary"
"3157","çà","ADV","Flaubert-Bovary"
"3158","et","et","Flaubert-Bovary"
"3159","là","là","Flaubert-Bovary"
"3160",",",",","Flaubert-Bovary"
"3161","comme","comme","Flaubert-Bovary"
"3162","un","un","Flaubert-Bovary"
"3163","pétard","NC","Flaubert-Bovary"
"3164","mal","ADV","Flaubert-Bovary"
"3165","éteint","PPAS","Flaubert-Bovary"
"3166",",",",","Flaubert-Bovary"
"3167","quelque","quelque","Flaubert-Bovary"
"3168","rire","NC","Flaubert-Bovary"
"3169","étouffé","PPAS","Flaubert-Bovary"
"3170",".",".","Flaubert-Bovary"
"3171","Cependant","cependant","Flaubert-Bovary"
"3172",",",",","Flaubert-Bovary"
"3173","sous","sous","Flaubert-Bovary"
"3174","la","le","Flaubert-Bovary"
"3175","pluie","NC","Flaubert-Bovary"
"3176","de","de","Flaubert-Bovary"
"3177","les","le","Flaubert-Bovary"
"3178","pensums","NC","Flaubert-Bovary"
"3179",",",",","Flaubert-Bovary"
"3180","l'","le","Flaubert-Bovary"
"3181","ordre","NC","Flaubert-Bovary"
"3182","peu","peu","Flaubert-Bovary"
"3183","à","à","Flaubert-Bovary"
"3184","peu","peu","Flaubert-Bovary"
"3185","se","se","Flaubert-Bovary"
"3186","rétablit","PPAS","Flaubert-Bovary"
"3187","dans","dans","Flaubert-Bovary"
"3188","la","le","Flaubert-Bovary"
"3189","classe","NC","Flaubert-Bovary"
"3190",",",",","Flaubert-Bovary"
"3191","et","et","Flaubert-Bovary"
"3192","le","le","Flaubert-Bovary"
"3193","professeur","NC","Flaubert-Bovary"
"3194","parvenu","PPAS","Flaubert-Bovary"
"3195","à","à","Flaubert-Bovary"
"3196","saisir","INF","Flaubert-Bovary"
"3197","le","le","Flaubert-Bovary"
"3198","nom","NC","Flaubert-Bovary"
"3199","de","de","Flaubert-Bovary"
"3200","Charles","NP","Flaubert-Bovary"
"3201","Bovary","NP","Flaubert-Bovary"
"3202",",",",","Flaubert-Bovary"
"3203","se","se","Flaubert-Bovary"
"3204","l'","le","Flaubert-Bovary"
"3205","étant","être","Flaubert-Bovary"
"3206","fait","PPAS","Flaubert-Bovary"
"3207","dicter","INF","Flaubert-Bovary"
"3208",",",",","Flaubert-Bovary"
"3209","épeler","INF","Flaubert-Bovary"
"3210","et","et","Flaubert-Bovary"
"3211","relire","INF","Flaubert-Bovary"
"3212",",",",","Flaubert-Bovary"
"3213","commanda","VPS","Flaubert-Bovary"
"3214","tout","tout","Flaubert-Bovary"
"3215","de","de","Flaubert-Bovary"
"3216","suite","NC","Flaubert-Bovary"
"3217","à","à","Flaubert-Bovary"
"3218","le","le","Flaubert-Bovary"
"3219","pauvre","NC","Flaubert-Bovary"
"3220","diable","ADJ","Flaubert-Bovary"
"3221","d'","de","Flaubert-Bovary"
"3222","aller","INF","Flaubert-Bovary"
"3223","s'","se","Flaubert-Bovary"
"3224","asseoir","INF","Flaubert-Bovary"
"3225","sur","sur","Flaubert-Bovary"
"3226","le","le","Flaubert-Bovary"
"3227","banc","NC","Flaubert-Bovary"
"3228","de","de","Flaubert-Bovary"
"3229","paresse","NCABS","Flaubert-Bovary"
"3230",",",",","Flaubert-Bovary"
"3231","à","à","Flaubert-Bovary"
"3232","le","le","Flaubert-Bovary"
"3233","pied","NCCOR","Flaubert-Bovary"
"3234","de","de","Flaubert-Bovary"
"3235","la","le","Flaubert-Bovary"
"3236","chaire","NC","Flaubert-Bovary"
"3237",".",".","Flaubert-Bovary"
"3238","Il","il","Flaubert-Bovary"
"3239","se","se","Flaubert-Bovary"
"3240","mit","VPS","Flaubert-Bovary"
"3241","en","en","Flaubert-Bovary"
"3242","mouvement","NC","Flaubert-Bovary"
"3243",",",",","Flaubert-Bovary"
"3244","mais","mais","Flaubert-Bovary"
"3245",",",",","Flaubert-Bovary"
"3246","avant","avant","Flaubert-Bovary"
"3247","de","de","Flaubert-Bovary"
"3248","partir","INF","Flaubert-Bovary"
"3249",",",",","Flaubert-Bovary"
"3250","hésita","hésita","Flaubert-Bovary"
"3251",".",".","Flaubert-Bovary"
"3252","Que","que","Flaubert-Bovary"
"3253","cherchez-vous","cherchez-le","Flaubert-Bovary"
"3254","?","?","Flaubert-Bovary"
"3255","demanda","VPS","Flaubert-Bovary"
"3256","le","le","Flaubert-Bovary"
"3257","professeur","NC","Flaubert-Bovary"
"3258",".",".","Flaubert-Bovary"
"3259","Ma","DETPOSS","Flaubert-Bovary"
"3260","cas","NC","Flaubert-Bovary"
"3261","...","...","Flaubert-Bovary"
"3262","fit","VPS","Flaubert-Bovary"
"3263","timidement","ADVMAN","Flaubert-Bovary"
"3264","le","le","Flaubert-Bovary"
"3265","nouveau","ADJ","Flaubert-Bovary"
"3266",",",",","Flaubert-Bovary"
"3267","promenant","PPRES","Flaubert-Bovary"
"3268","autour","ADV","Flaubert-Bovary"
"3269","de","de","Flaubert-Bovary"
"3270","lui","lui","Flaubert-Bovary"
"3271","de","de","Flaubert-Bovary"
"3272","les","le","Flaubert-Bovary"
"3273","regards","NC","Flaubert-Bovary"
"3274","inquiets","ADJ","Flaubert-Bovary"
"3275",".",".","Flaubert-Bovary"
"3276","cents","NC","Flaubert-Bovary"
"3277","vers","ADJ","Flaubert-Bovary"
"3278","à","à","Flaubert-Bovary"
"3279","toute","tout","Flaubert-Bovary"
"3280","la","le","Flaubert-Bovary"
"3281","classe","NC","Flaubert-Bovary"
"3282","!","!","Flaubert-Bovary"
"3283","exclamé","PPAS","Flaubert-Bovary"
"3284","d'","de","Flaubert-Bovary"
"3285","une","un","Flaubert-Bovary"
"3286","voix","NC","Flaubert-Bovary"
"3287","furieuse","ADJ","Flaubert-Bovary"
"3288","arrêta","VPS","Flaubert-Bovary"
"3289",",",",","Flaubert-Bovary"
"3290","le","le","Flaubert-Bovary"
"3291","_Quos","NP","Flaubert-Bovary"
"3292","ego_","NP","Flaubert-Bovary"
"3293",",",",","Flaubert-Bovary"
"3294","une","un","Flaubert-Bovary"
"3295","bourrasque","NC","Flaubert-Bovary"
"3296","nouvelle","ADJ","Flaubert-Bovary"
"3297",".",".","Flaubert-Bovary"
"3298","Restez","IMP","Flaubert-Bovary"
"3299","donc","ADV","Flaubert-Bovary"
"3300","tranquilles","NC","Flaubert-Bovary"
"3301","!","!","Flaubert-Bovary"
"3302","continuait","VIMP","Flaubert-Bovary"
"3303","le","le","Flaubert-Bovary"
"3304","professeur","NC","Flaubert-Bovary"
"3305","indigné","ADJ","Flaubert-Bovary"
"3306",",",",","Flaubert-Bovary"
"3307","et","et","Flaubert-Bovary"
"3308","s'","se","Flaubert-Bovary"
"3309","essuyant","PPRES","Flaubert-Bovary"
"3310","le","le","Flaubert-Bovary"
"3311","front","NCCOR","Flaubert-Bovary"
"3312","avec","avec","Flaubert-Bovary"
"3313","son","DETPOSS","Flaubert-Bovary"
"3314","mouchoir","NC","Flaubert-Bovary"
"3315","qu'","que","Flaubert-Bovary"
"3316","il","il","Flaubert-Bovary"
"3317","venait","VIMP","Flaubert-Bovary"
"3318","de","de","Flaubert-Bovary"
"3319","prendre","INF","Flaubert-Bovary"
"3320","dans","dans","Flaubert-Bovary"
"3321","sa","DETPOSS","Flaubert-Bovary"
"3322","toque","NC","Flaubert-Bovary"
"3323",":",":","Flaubert-Bovary"
"3324","Quant","ADV","Flaubert-Bovary"
"3325","à","à","Flaubert-Bovary"
"3326","vous","vous","Flaubert-Bovary"
"3327",",",",","Flaubert-Bovary"
"3328","le","le","Flaubert-Bovary"
"3329","nouveau","ADJ","Flaubert-Bovary"
"3330",",",",","Flaubert-Bovary"
"3331","vous","vous","Flaubert-Bovary"
"3332","me","me","Flaubert-Bovary"
"3333","copierez","VF","Flaubert-Bovary"
"3334","vingt","NUM","Flaubert-Bovary"
"3335","fois","fois","Flaubert-Bovary"
"3336","le","le","Flaubert-Bovary"
"3337","verbe","NC","Flaubert-Bovary"
"3338","_ridiculus","ADV","Flaubert-Bovary"
"3339","sum_","NP","Flaubert-Bovary"
"3340",".",".","Flaubert-Bovary"
"3341","Puis","puis","Flaubert-Bovary"
"3342",",",",","Flaubert-Bovary"
"3343","d'","de","Flaubert-Bovary"
"3344","une","un","Flaubert-Bovary"
"3345","voix","NC","Flaubert-Bovary"
"3346","plus","plus","Flaubert-Bovary"
"3347","douce","ADJ","Flaubert-Bovary"
"3348",":",":","Flaubert-Bovary"
"3349","Eh!","Eh!","Flaubert-Bovary"
"3350","vous","vous","Flaubert-Bovary"
"3351","la","le","Flaubert-Bovary"
"3352","retrouverez","VF","Flaubert-Bovary"
"3353",",",",","Flaubert-Bovary"
"3354","votre","DETPOSS","Flaubert-Bovary"
"3355","casquette","NC","Flaubert-Bovary"
"3356",";",";","Flaubert-Bovary"
"3357","on","on","Flaubert-Bovary"
"3358","ne","ne","Flaubert-Bovary"
"3359","vous","vous","Flaubert-Bovary"
"3360","l'","le","Flaubert-Bovary"
"3361","a","avoir","Flaubert-Bovary"
"3362","pas","pas","Flaubert-Bovary"
"3363","volée","PPAS","Flaubert-Bovary"
"3364","!","!","Flaubert-Bovary"
"3365","Tout","tout","Flaubert-Bovary"
"3366","reprit","VPS","Flaubert-Bovary"
"3367","son","DETPOSS","Flaubert-Bovary"
"3368","calme","NCABS","Flaubert-Bovary"
"3369",".",".","Flaubert-Bovary"
"3370","Les","le","Flaubert-Bovary"
"3371","têtes","NCCOR","Flaubert-Bovary"
"3372","se","se","Flaubert-Bovary"
"3373","courbèrent","PRES","Flaubert-Bovary"
"3374","sur","sur","Flaubert-Bovary"
"3375","les","le","Flaubert-Bovary"
"3376","cartons","NC","Flaubert-Bovary"
"3377",",",",","Flaubert-Bovary"
"3378","et","et","Flaubert-Bovary"
"3379","le","le","Flaubert-Bovary"
"3380","nouveau","ADJ","Flaubert-Bovary"
"3381","resta","VPS","Flaubert-Bovary"
"3382","pendant","pendant","Flaubert-Bovary"
"3383","deux","NUM","Flaubert-Bovary"
"3384","heures","NC","Flaubert-Bovary"
"3385","dans","dans","Flaubert-Bovary"
"3386","une","un","Flaubert-Bovary"
"3387","tenue","NC","Flaubert-Bovary"
"3388","exemplaire","ADJ","Flaubert-Bovary"
"3389",",",",","Flaubert-Bovary"
"3390","quoiqu'","quoique","Flaubert-Bovary"
"3391","il","il","Flaubert-Bovary"
"3392","y","y","Flaubert-Bovary"
"3393","eût","avoir","Flaubert-Bovary"
"3394","bien","bien","Flaubert-Bovary"
"3395",",",",","Flaubert-Bovary"
"3396","de","de","Flaubert-Bovary"
"3397","temps","NC","Flaubert-Bovary"
"3398","à","à","Flaubert-Bovary"
"3399","autre","ADV","Flaubert-Bovary"
"3400",",",",","Flaubert-Bovary"
"3401","quelque","quelque","Flaubert-Bovary"
"3402","boulette","NC","Flaubert-Bovary"
"3403","de","de","Flaubert-Bovary"
"3404","papier","NC","Flaubert-Bovary"
"3405","lancée","PPAS","Flaubert-Bovary"
"3406","d'","de","Flaubert-Bovary"
"3407","un","un","Flaubert-Bovary"
"3408","bec","NC","Flaubert-Bovary"
"3409","de","de","Flaubert-Bovary"
"3410","plume","NC","Flaubert-Bovary"
"3411","qui","qui","Flaubert-Bovary"
"3412","vînt","PRES","Flaubert-Bovary"
"3413","s'","se","Flaubert-Bovary"
"3414","éclabousser","INF","Flaubert-Bovary"
"3415","sur","sur","Flaubert-Bovary"
"3416","sa","DETPOSS","Flaubert-Bovary"
"3417","figure","NCCOR","Flaubert-Bovary"
"3418",".",".","Flaubert-Bovary"
"3419","Mais","mais","Flaubert-Bovary"
"3420","il","il","Flaubert-Bovary"
"3421","s'","se","Flaubert-Bovary"
"3422","essuyait","VIMP","Flaubert-Bovary"
"3423","avec","avec","Flaubert-Bovary"
"3424","la","le","Flaubert-Bovary"
"3425","main","NCCOR","Flaubert-Bovary"
"3426",",",",","Flaubert-Bovary"
"3427","et","et","Flaubert-Bovary"
"3428","demeurait","VIMP","Flaubert-Bovary"
"3429","immobile","ADJ","Flaubert-Bovary"
"3430",",",",","Flaubert-Bovary"
"3431","les","le","Flaubert-Bovary"
"3432","yeux","NCCOR","Flaubert-Bovary"
"3433","baissés","PPAS","Flaubert-Bovary"
"3434",".",".","Flaubert-Bovary"
"3435","Le","le","Flaubert-Bovary"
"3436","soir","NC","Flaubert-Bovary"
"3437",",",",","Flaubert-Bovary"
"3438","à","à","Flaubert-Bovary"
"3439","l'","le","Flaubert-Bovary"
"3440","Étude","NP","Flaubert-Bovary"
"3441",",",",","Flaubert-Bovary"
"3442","il","il","Flaubert-Bovary"
"3443","tira","VPS","Flaubert-Bovary"
"3444","ses","DETPOSS","Flaubert-Bovary"
"3445","bouts","NC","Flaubert-Bovary"
"3446","de","de","Flaubert-Bovary"
"3447","manches","NC","Flaubert-Bovary"
"3448","de","de","Flaubert-Bovary"
"3449","son","DETPOSS","Flaubert-Bovary"
"3450","pupitre","NC","Flaubert-Bovary"
"3451",",",",","Flaubert-Bovary"
"3452","mit","VPS","Flaubert-Bovary"
"3453","en","en","Flaubert-Bovary"
"3454","ordre","NC","Flaubert-Bovary"
"3455","ses","DETPOSS","Flaubert-Bovary"
"3456","petites","ADJ","Flaubert-Bovary"
"3457","affaires","NC","Flaubert-Bovary"
"3458",",",",","Flaubert-Bovary"
"3459","régla","VPS","Flaubert-Bovary"
"3460","soigneusement","ADVMAN","Flaubert-Bovary"
"3461","son","DETPOSS","Flaubert-Bovary"
"3462","papier","NC","Flaubert-Bovary"
"3463",".",".","Flaubert-Bovary"
"3464","Nous","nous","Flaubert-Bovary"
"3465","le","le","Flaubert-Bovary"
"3466","vîmes","NC","Flaubert-Bovary"
"3467","qui","qui","Flaubert-Bovary"
"3468","travaillait","VIMP","Flaubert-Bovary"
"3469","en","en","Flaubert-Bovary"
"3470","conscience","NCABS","Flaubert-Bovary"
"3471",",",",","Flaubert-Bovary"
"3472","cherchant","PPRES","Flaubert-Bovary"
"3473","tous","tout","Flaubert-Bovary"
"3474","les","le","Flaubert-Bovary"
"3475","mots","NC","Flaubert-Bovary"
"3476","dans","dans","Flaubert-Bovary"
"3477","le","le","Flaubert-Bovary"
"3478","dictionnaire","NC","Flaubert-Bovary"
"3479","et","et","Flaubert-Bovary"
"3480","se","se","Flaubert-Bovary"
"3481","donnant","PPRES","Flaubert-Bovary"
"3482","beaucoup","beaucoup","Flaubert-Bovary"
"3483","de","de","Flaubert-Bovary"
"3484","mal","NC","Flaubert-Bovary"
"3485",".",".","Flaubert-Bovary"
"3486","Grâce","ADV","Flaubert-Bovary"
"3487",",",",","Flaubert-Bovary"
"3488","sans","sans","Flaubert-Bovary"
"3489","doute","NCABS","Flaubert-Bovary"
"3490",",",",","Flaubert-Bovary"
"3491","à","à","Flaubert-Bovary"
"3492","cette","ce","Flaubert-Bovary"
"3493","bonne","ADJ","Flaubert-Bovary"
"3494","volonté","NCABS","Flaubert-Bovary"
"3495","dont","dont","Flaubert-Bovary"
"3496","il","il","Flaubert-Bovary"
"3497","fit","VPS","Flaubert-Bovary"
"3498","preuve","NC","Flaubert-Bovary"
"3499",",",",","Flaubert-Bovary"
"3500","il","il","Flaubert-Bovary"
"3501","dut","VPS","Flaubert-Bovary"
"3502","de","de","Flaubert-Bovary"
"3503","ne","ne","Flaubert-Bovary"
"3504","pas","pas","Flaubert-Bovary"
"3505","descendre","INF","Flaubert-Bovary"
"3506","dans","dans","Flaubert-Bovary"
"3507","la","le","Flaubert-Bovary"
"3508","classe","NC","Flaubert-Bovary"
"3509","inférieure","ADJ","Flaubert-Bovary"
"3510",";",";","Flaubert-Bovary"
"3511","car","car","Flaubert-Bovary"
"3512",",",",","Flaubert-Bovary"
"3513","s'","si","Flaubert-Bovary"
"3514","il","il","Flaubert-Bovary"
"3515","savait","VIMP","Flaubert-Bovary"
"3516","passablement","ADVINT","Flaubert-Bovary"
"3517","ses","DETPOSS","Flaubert-Bovary"
"3518","règles","NC","Flaubert-Bovary"
"3519",",",",","Flaubert-Bovary"
"3520","il","il","Flaubert-Bovary"
"3521","n'","ne","Flaubert-Bovary"
"3522","avait","avoir","Flaubert-Bovary"
"3523","guère","guère","Flaubert-Bovary"
"3524","d'","de","Flaubert-Bovary"
"3525","élégance","NCABS","Flaubert-Bovary"
"3526","dans","dans","Flaubert-Bovary"
"3527","les","le","Flaubert-Bovary"
"3528","tournures","NC","Flaubert-Bovary"
"3529",".",".","Flaubert-Bovary"
"3530","C'","ce","Flaubert-Bovary"
"3531","était","être","Flaubert-Bovary"
"3532","le","le","Flaubert-Bovary"
"3533","curé","NC","Flaubert-Bovary"
"3534","de","de","Flaubert-Bovary"
"3535","son","DETPOSS","Flaubert-Bovary"
"3536","village","NC","Flaubert-Bovary"
"3537","qui","qui","Flaubert-Bovary"
"3538","lui","lui","Flaubert-Bovary"
"3539","avait","avoir","Flaubert-Bovary"
"3540","commencé","PPAS","Flaubert-Bovary"
"3541","le","le","Flaubert-Bovary"
"3542","latin","NC","Flaubert-Bovary"
"3543",",",",","Flaubert-Bovary"
"3544","ses","DETPOSS","Flaubert-Bovary"
"3545","parents","NC","Flaubert-Bovary"
"3546",",",",","Flaubert-Bovary"
"3547","par","par","Flaubert-Bovary"
"3548","économie","NC","Flaubert-Bovary"
"3549",",",",","Flaubert-Bovary"
"3550","ne","ne","Flaubert-Bovary"
"3551","l'","le","Flaubert-Bovary"
"3552","ayant","avoir","Flaubert-Bovary"
"3553","envoyé","PPAS","Flaubert-Bovary"
"3554","à","à","Flaubert-Bovary"
"3555","le","le","Flaubert-Bovary"
"3556","collège","NC","Flaubert-Bovary"
"3557","que","que","Flaubert-Bovary"
"3558","le","le","Flaubert-Bovary"
"3559","plus","plus","Flaubert-Bovary"
"3560","tard","tard","Flaubert-Bovary"
"3561","possible","ADJ","Flaubert-Bovary"
"3562",".",".","Flaubert-Bovary"
"3563","Son","DETPOSS","Flaubert-Bovary"
"3564","père","NC","Flaubert-Bovary"
"3565",",",",","Flaubert-Bovary"
"3566","M.","NC","Flaubert-Bovary"
"3567","Charles-Denis-Bartholomé","NP","Flaubert-Bovary"
"3568","Bovary","NP","Flaubert-Bovary"
"3569",",",",","Flaubert-Bovary"
"3570","ancien","ADJ","Flaubert-Bovary"
"3571","aide","NC","Flaubert-Bovary"
"3572","-","-","Flaubert-Bovary"
"3573","chirurgien-major","NC","Flaubert-Bovary"
"3574",",",",","Flaubert-Bovary"
"3575","compromis","PPAS","Flaubert-Bovary"
"3576",",",",","Flaubert-Bovary"
"3577","vers","vers","Flaubert-Bovary"
"3578","1812","NUM","Flaubert-Bovary"
"3579",",",",","Flaubert-Bovary"
"3580","dans","dans","Flaubert-Bovary"
"3581","de","de","Flaubert-Bovary"
"3582","les","le","Flaubert-Bovary"
"3583","affaires","NC","Flaubert-Bovary"
"3584","de","de","Flaubert-Bovary"
"3585","conscription","NC","Flaubert-Bovary"
"3586",",",",","Flaubert-Bovary"
"3587","et","et","Flaubert-Bovary"
"3588","forcé","PPAS","Flaubert-Bovary"
"3589",",",",","Flaubert-Bovary"
"3590","vers","vers","Flaubert-Bovary"
"3591","cette","ce","Flaubert-Bovary"
"3592","époque","NC","Flaubert-Bovary"
"3593",",",",","Flaubert-Bovary"
"3594","de","de","Flaubert-Bovary"
"3595","quitter","INF","Flaubert-Bovary"
"3596","le","le","Flaubert-Bovary"
"3597","service","NC","Flaubert-Bovary"
"3598",",",",","Flaubert-Bovary"
"3599","alors","alors","Flaubert-Bovary"
"3600","profité","PPAS","Flaubert-Bovary"
"3601","de","de","Flaubert-Bovary"
"3602","ses","DETPOSS","Flaubert-Bovary"
"3603","avantages","NC","Flaubert-Bovary"
"3604","personnels","ADJ","Flaubert-Bovary"
"3605","pour","pour","Flaubert-Bovary"
"3606","saisir","INF","Flaubert-Bovary"
"3607","à","à","Flaubert-Bovary"
"3608","le","le","Flaubert-Bovary"
"3609","passage","PRES","Flaubert-Bovary"
"3610","une","un","Flaubert-Bovary"
"3611","dot","NC","Flaubert-Bovary"
"3612","de","de","Flaubert-Bovary"
"3613","soixante","NC","Flaubert-Bovary"
"3614","francs","NC","Flaubert-Bovary"
"3615",",",",","Flaubert-Bovary"
"3616","qui","qui","Flaubert-Bovary"
"3617","s'","se","Flaubert-Bovary"
"3618","offrait","VIMP","Flaubert-Bovary"
"3619","en","en","Flaubert-Bovary"
"3620","la","le","Flaubert-Bovary"
"3621","fille","NC","Flaubert-Bovary"
"3622","d'","de","Flaubert-Bovary"
"3623","un","un","Flaubert-Bovary"
"3624","marchand","NC","Flaubert-Bovary"
"3625","bonnetier","ADJ","Flaubert-Bovary"
"3626",",",",","Flaubert-Bovary"
"3627","devenue","PPAS","Flaubert-Bovary"
"3628","amoureuse","ADJ","Flaubert-Bovary"
"3629","de","de","Flaubert-Bovary"
"3630","sa","DETPOSS","Flaubert-Bovary"
"3631","tournure","NC","Flaubert-Bovary"
"3632",".",".","Flaubert-Bovary"
"3633","Bel","ADJ","Flaubert-Bovary"
"3634","homme","NC","Flaubert-Bovary"
"3635",",",",","Flaubert-Bovary"
"3636","hâbleur","NC","Flaubert-Bovary"
"3637",",",",","Flaubert-Bovary"
"3638","faisant","PPRES","Flaubert-Bovary"
"3639","sonner","INF","Flaubert-Bovary"
"3640","haut","ADJ","Flaubert-Bovary"
"3641","ses","DETPOSS","Flaubert-Bovary"
"3642","éperons","NC","Flaubert-Bovary"
"3643",",",",","Flaubert-Bovary"
"3644","portant","PPRES","Flaubert-Bovary"
"3645","de","de","Flaubert-Bovary"
"3646","les","le","Flaubert-Bovary"
"3647","favoris","ADJ","Flaubert-Bovary"
"3648","rejoints","rejoints","Flaubert-Bovary"
"3649","à","à","Flaubert-Bovary"
"3650","les","le","Flaubert-Bovary"
"3651","moustaches","NCCOR","Flaubert-Bovary"
"3652",",",",","Flaubert-Bovary"
"3653","les","le","Flaubert-Bovary"
"3654","doigts","NCCOR","Flaubert-Bovary"
"3655","toujours","toujours","Flaubert-Bovary"
"3656","garnis","PPAS","Flaubert-Bovary"
"3657","de","de","Flaubert-Bovary"
"3658","bagues","NC","Flaubert-Bovary"
"3659","et","et","Flaubert-Bovary"
"3660","habillé","PPAS","Flaubert-Bovary"
"3661","de","de","Flaubert-Bovary"
"3662","couleurs","NC","Flaubert-Bovary"
"3663",",",",","Flaubert-Bovary"
"3664","il","il","Flaubert-Bovary"
"3665","avait","avoir","Flaubert-Bovary"
"3666","l'","le","Flaubert-Bovary"
"3667","aspect","NC","Flaubert-Bovary"
"3668","un","un","Flaubert-Bovary"
"3669","brave","ADJ","Flaubert-Bovary"
"3670",",",",","Flaubert-Bovary"
"3671","avec","avec","Flaubert-Bovary"
"3672","l'","le","Flaubert-Bovary"
"3673","entrain","NCABS","Flaubert-Bovary"
"3674","facile","ADJ","Flaubert-Bovary"
"3675","d'","de","Flaubert-Bovary"
"3676","un","un","Flaubert-Bovary"
"3677","commis","NC","Flaubert-Bovary"
"3678","voyageur","NC","Flaubert-Bovary"
"3679",".",".","Flaubert-Bovary"
"3680","Une","un","Flaubert-Bovary"
"3681","fois","fois","Flaubert-Bovary"
"3682","marié","PPAS","Flaubert-Bovary"
"3683",",",",","Flaubert-Bovary"
"3684","il","il","Flaubert-Bovary"
"3685","vécut","VPS","Flaubert-Bovary"
"3686","deux","NUM","Flaubert-Bovary"
"3687","ou","ou","Flaubert-Bovary"
"3688","trois","NUM","Flaubert-Bovary"
"3689","ans","NC","Flaubert-Bovary"
"3690","sur","sur","Flaubert-Bovary"
"3691","la","le","Flaubert-Bovary"
"3692","fortune","NC","Flaubert-Bovary"
"3693","de","de","Flaubert-Bovary"
"3694","sa","DETPOSS","Flaubert-Bovary"
"3695","femme","NC","Flaubert-Bovary"
"3696",",",",","Flaubert-Bovary"
"3697","dînant","PPRES","Flaubert-Bovary"
"3698","bien","bien","Flaubert-Bovary"
"3699",",",",","Flaubert-Bovary"
"3700","se","se","Flaubert-Bovary"
"3701","levant","PPRES","Flaubert-Bovary"
"3702","tard","tard","Flaubert-Bovary"
"3703",",",",","Flaubert-Bovary"
"3704","fumant","PPRES","Flaubert-Bovary"
"3705","dans","dans","Flaubert-Bovary"
"3706","de","un","Flaubert-Bovary"
"3707","grandes","ADJ","Flaubert-Bovary"
"3708","pipes","NC","Flaubert-Bovary"
"3709","en","en","Flaubert-Bovary"
"3710","porcelaine","NC","Flaubert-Bovary"
"3711",",",",","Flaubert-Bovary"
"3712","ne","ne","Flaubert-Bovary"
"3713","rentrant","PPRES","Flaubert-Bovary"
"3714","le","le","Flaubert-Bovary"
"3715","soir","NC","Flaubert-Bovary"
"3716","qu'","que","Flaubert-Bovary"
"3717","après","après","Flaubert-Bovary"
"3718","le","le","Flaubert-Bovary"
"3719","spectacle","NC","Flaubert-Bovary"
"3720","et","et","Flaubert-Bovary"
"3721","fréquentant","PPRES","Flaubert-Bovary"
"3722","les","le","Flaubert-Bovary"
"3723","cafés","PPAS","Flaubert-Bovary"
"3724",".",".","Flaubert-Bovary"
"3725","Le","le","Flaubert-Bovary"
"3726","beau-père","NC","Flaubert-Bovary"
"3727","mourut","VPS","Flaubert-Bovary"
"3728","et","et","Flaubert-Bovary"
"3729","laissa","VPS","Flaubert-Bovary"
"3730","peu","peu","Flaubert-Bovary"
"3731","de","de","Flaubert-Bovary"
"3732","chose","chose","Flaubert-Bovary"
"3733",";",";","Flaubert-Bovary"
"3734","il","il","Flaubert-Bovary"
"3735","en","en","Flaubert-Bovary"
"3736","fut","être","Flaubert-Bovary"
"3737","indigné","PPAS","Flaubert-Bovary"
"3738",",",",","Flaubert-Bovary"
"3739","se","se","Flaubert-Bovary"
"3740","lança","VPS","Flaubert-Bovary"
"3741","dans","dans","Flaubert-Bovary"
"3742","la","le","Flaubert-Bovary"
"3743","fabrique","NC","Flaubert-Bovary"
"3744",",",",","Flaubert-Bovary"
"3745","y","y","Flaubert-Bovary"
"3746","perdit","VPS","Flaubert-Bovary"
"3747","quelque","quelque","Flaubert-Bovary"
"3748","argent","NC","Flaubert-Bovary"
"3749",",",",","Flaubert-Bovary"
"3750","puis","puis","Flaubert-Bovary"
"3751","se","se","Flaubert-Bovary"
"3752","retira","VPS","Flaubert-Bovary"
"3753","dans","dans","Flaubert-Bovary"
"3754","la","le","Flaubert-Bovary"
"3755","campagne","NC","Flaubert-Bovary"
"3756",",",",","Flaubert-Bovary"
"3757","où","où","Flaubert-Bovary"
"3758","il","il","Flaubert-Bovary"
"3759","voulut","VPS","Flaubert-Bovary"
"3760","faire","INF","Flaubert-Bovary"
"3761","valoir","INF","Flaubert-Bovary"
"3762",".",".","Flaubert-Bovary"
"3763","Mais","mais","Flaubert-Bovary"
"3764",",",",","Flaubert-Bovary"
"3765","comme","comme","Flaubert-Bovary"
"3766","il","il","Flaubert-Bovary"
"3767","ne","ne","Flaubert-Bovary"
"3768","s'","se","Flaubert-Bovary"
"3769","entendait","VIMP","Flaubert-Bovary"
"3770","guère","guère","Flaubert-Bovary"
"3771","plus","plus","Flaubert-Bovary"
"3772","en","en","Flaubert-Bovary"
"3773","culture","NC","Flaubert-Bovary"
"3774","qu'","que","Flaubert-Bovary"
"3775","en","en","Flaubert-Bovary"
